# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	289
#@/user_id	TAKUSEI-DESKTOP
a 	啊	c=1 d=1 t=90
yi xia 	一下	c=1 d=1 t=12
yin 	因	c=0 d=0.1 t=63
yin xi ti 	因習題	c=1 d=1 t=64
yong 	用	c=1 d=1 t=210
yong jie 	永劫	c=0 d=0.1 t=213
yong jie wu jian 	永劫無間	c=1 d=1 t=214
you 	又	c=1 d=1 t=59
you 	有	c=1 d=1 t=247
you dian 	有點	c=1 d=1 t=121
you xian 	優先	c=1 d=1 t=139
you xian 	有限	c=0 d=0.1 t=137
you xian shi bie 	有限識別	c=1 d=1 t=138
you xiang 	郵箱	c=1 d=1 t=39
yu 	與	c=1 d=1 t=286
yu jian 	遇見	c=1 d=1 t=60
yu shi 	於是	c=1 d=1 t=157
yu yan 	語言	c=3 d=2.98506 t=273
zen me 	怎麼	c=1 d=1 t=85
zen me gan 	怎麼幹	c=1 d=1 t=86
zhang hao 	帳號	c=1 d=1 t=28
zhao pian 	照片	c=1 d=1 t=109
zhe ge 	這個	c=3 d=2.42468 t=191
zhe li 	這裏	c=1 d=1 t=190
zhe shi 	這是	c=2 d=1.41478 t=287
zhe yang 	這樣	c=1 d=1 t=103
zhen 	真	c=1 d=1 t=127
zheng ge 	整個	c=0 d=0.1 t=162
zheng ge lie biao 	整個列表	c=1 d=1 t=163
zhi ding 	制定	c=1 d=1 t=150
zhi ding 	指定	c=1 d=1 t=151
zhi guan 	直觀	c=1 d=1 t=193
zhong 	中	c=1 d=1 t=161
zhong guo da lu 	中國大陸	c=2 d=1.84366 t=54
zhong wen 	中文	c=0 d=0.1 t=206
zhong wen zi ti 	中文字體	c=1 d=1 t=207
zi ji 	自己	c=1 d=1 t=183
zi mu 	字母	c=1 d=1 t=178
zi ti 	字體	c=1 d=1.23747 t=227
zi ti ming cheng 	字體名稱	c=1 d=1 t=164
