# Rime user dictionary
#@/db_name	ounei_copy
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	11579
#@/user_id	TAKUSEI-DESKTOP
b;[ah 	柄	c=1 d=1 t=8048
bu[eu ji[yk de[ro 	不記得	c=1 d=1 t=10478
bu[eu jn[ae 	不禁	c=1 d=1 t=6100
bu[eu jn[ry 	不僅	c=2 d=1.00001 t=5574
bu[eu jn[ry jn[ry 	不僅僅	c=1 d=1 t=1958
bu[eu jn[ry ru[nk ci[vb 	不僅如此	c=1 d=1 t=3571
bu[eu jq[xd 	不久	c=1 d=1 t=7219
bu[eu ke[dk fb[bk rf[yr 	不可否認	c=1 d=1 t=3339
bu[eu ke[dk jm[ke 	不可見	c=1 d=1 t=1248
bu[eu ke[dk ng[sb 	不可能	c=1 d=1 t=5079
bu[eu kv[hk 	不虧	c=2 d=1.00878 t=8916
bu[eu lc[md jx[dd 	不瞭解	c=1 d=1 t=6896
bu[eu lc[vu 	不了	c=7 d=1.85 t=10222
bu[eu ll[hm 	不來	c=3 d=2.95072 t=9280
bu[eu ma[ga fj[hy 	不麻煩	c=1 d=1 t=4242
bu[eu ng[sb 	不能	c=6 d=1.05323 t=5465
bu[eu nj[yv 	不難	c=2 d=1.70822 t=5031
bu[eu q;[df 	不清	c=0 d=0.1 t=9821
bu[eu qt[ed d;[gp 	不確定	c=3 d=1 t=8955
bu[eu qu[ts 	不去	c=1 d=1 t=7018
bu[eu rf[yr 	不認	c=1 d=1 t=4897
bu[eu rh[yu 	不讓	c=1 d=1 t=9270
bu[eu rs[xr yi[ob 	不容易	c=1 d=1 t=10521
bu[eu ru[nk 	不如	c=3 d=1 t=7741
bu[eu ru[nk uo[yb 	不如說	c=1 d=1 t=8559
bu[eu sr[vm 	不算	c=2 d=1.96561 t=7248
bu[eu tb[fj 	不投	c=1 d=1 t=9316
bu[eu tb[hz 	不透	c=0 d=0.1 t=1572
bu[eu tb[hz m;[oo 	不透明	c=1 d=1 t=1573
bu[eu tk[vz ke[yo 	不逃課	c=1 d=1 t=7895
bu[eu tl[dd 	不太	c=11 d=4.64517 t=10904
