# Rime user dictionary
#@/db_name	ounei_hand
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	36936
#@/user_id	TAKUSEI-DESKTOP
bi[xp d;[gp 	必定	c=1 d=1 t=21973
bi[xp rj[xd 	必然	c=1 d=1 t=11009
bi[xp ug[op 	必勝	c=1 d=1 t=19889
bi[xp xt[xz 	必學	c=1 d=1 t=30223
bi[xp xu[py 	必須	c=25 d=1.00108 t=30956
bi[xp xu[py yk[xn 	必須要	c=3 d=1 t=33298
bi[xp y;[gx 	必應	c=4 d=3.54904 t=14866
bi[xp yb[uo 	必有	c=1 d=1 t=20976
bi[xp yk[xn 	必要	c=0 d=0.1 t=3894
bi[xp yk[xn x;[xp 	必要性	c=1 d=1 t=23020
bj[ap dg[dj 	板凳	c=1 d=1 t=30809
bj[ap zi[lh 	板子	c=1 d=1 t=12740
bj[bf 	半	c=4 d=1.00161 t=16190
bj[bf bl[eo 	半百	c=1 d=1 t=31372
bj[bf bu[vu 	半步	c=1 d=1 t=12939
bj[bf dk[kc ti[ra 	半導體	c=1 d=1 t=2314
bj[bf jt[dv sl[gb 	半決賽	c=1 d=1 t=5274
bj[bf nm[rn 	半年	c=1 d=1 t=23857
bj[ff yj[dg 	扮演	c=2 d=1 t=32473
bj[fv 	搬	c=1 d=0.1 t=18688
bj[fv hv[wk 	搬回	c=0 d=0.1 t=15775
bj[fv hv[wk qu[ts 	搬回去	c=1 d=1 t=15776
bj[fv ks[xg 	搬空	c=1 d=1 t=3902
bj[fv yi[hh ci[dd 	搬一次	c=1 d=1 t=18689
bj[fv zb[tv 	搬走	c=3 d=2.52324 t=3737
bj[fv zb[tv le[vu 	搬走了	c=1 d=1 t=3679
bj[lb fa[dt 	辦法	c=1 d=1 t=30463
bj[lb gs[bs 	辦公	c=2 d=0.1 t=36720
bj[lb gs[bs ui[gh 	辦公室	c=2 d=1 t=36695
bj[lb gs[bs vo[ba 	辦公桌	c=2 d=1 t=36723
bj[lb gs[bs wz[rl 	辦公位	c=1 d=1 t=36721
bj[lb gs[bs yi[ad 	辦公椅	c=1 d=1 t=7471
bj[pp 	版	c=13 d=1.99005 t=36236
bj[pp bf[ah 	版本	c=7 d=1 t=36257
bj[pp bm[lz 	版邊	c=1 d=1 t=31550
bj[pp qr[ay 	版權	c=0 d=0.1 t=32766
bj[pp tu[ww 	版圖	c=1 d=1 t=6966
bj[rb yb[uo 	伴有	c=1 d=1 t=32743
bj[tp 	坂	c=1 d=1 t=11695
bj[vj 	般	c=2 d=1 t=36047
bj[wd 	班	c=2 d=1 t=12650
bk[bk 	包	c=2 d=0.100019 t=19509
bk[bk hj[rk 	包含	c=1 d=1 t=27538
bk[bk jc[ul zi[lh 	包餃子	c=1 d=1 t=17330
bk[bk ko[fq 	包括	c=6 d=1 t=35022
bk[bk pl[pb 	包牌	c=1 d=1 t=35999
bk[bk vd[dy 	包裝	c=2 d=1 t=35050
bk[bk wz[ww 	包圍	c=1 d=1 t=6581
bk[fb qm[bd 	抱歉	c=2 d=1 t=23772
bk[fb tr[wc 	抱團	c=1 d=1 t=22821
bk[fb ve[ym 	抱着	c=1 d=1 t=7508
bk[fb vf[ag 	抱枕	c=1 d=1 t=16757
bk[fb yb[uo 	抱有	c=1 d=1 t=36337
bk[fe 	報	c=3 d=1 t=24136
bk[fe bz[wt 	報備	c=1 d=1 t=15900
bk[fe co[jg 	報錯	c=0 d=0.1 t=18743
bk[fe co[jg ma[em 	報錯碼	c=1 d=1 t=18744
bk[fe dk[bz 	報道	c=1 d=1 t=31727
bk[fe dk[hd 	報到	c=3 d=1 t=6121
bk[fe gk[nk 	報告	c=2 d=1.00001 t=23508
bk[fe jw[rr 	報價	c=2 d=1.39259 t=35034
bk[fe vi[su 	報紙	c=1 d=1 t=34023
bk[gw 	寶	c=2 d=1 t=17646
bk[gw bk[gw 	寶寶	c=1 d=1 t=25781
bk[gw bz[kr 	寶貝	c=0 d=0.1 t=15898
bk[gw ke[dk 	寶可	c=0 d=0.1 t=14336
bk[gw ke[dk mg[ax 	寶可夢	c=1 d=1 t=14337
bk[gw ui[ek 	寶石	c=1 d=1 t=23206
bk[gw xd[va 	寶箱	c=3 d=1 t=26641
bk[ho 	爆	c=21 d=1.0124 t=33872
bk[ho bk[ho 	爆爆	c=1 d=1 t=4743
bk[ho bk[ho bk[ho 	爆爆爆	c=1 d=1 t=6028
bk[ho dc[fb 	爆掉	c=1 d=1 t=22770
bk[ho fa[vy 	爆發	c=1 d=1 t=11863
bk[ho ke[kt mg[ax 	爆嗑夢	c=1 d=1 t=14336
bk[ho le[vu 	爆了	c=1 d=1 t=34037
bk[ho uh[rr 	爆傷	c=5 d=1.00014 t=19696
bk[ho va[hv 	爆炸	c=3 d=2.97516 t=3506
bk[ho xc[vp 	爆笑	c=0 d=0.1 t=7397
bk[ho xc[vp lq[dw 	爆笑流	c=1 d=1 t=7398
bk[og 	暴	c=1 d=1 t=18660
bk[og ji[fk 	暴擊	c=5 d=1 t=35490
bk[og ji[fk tb[dd 	暴擊頭	c=1 d=1 t=17778
bk[og li[vp 	暴力	c=1 d=0.1 t=33052
bk[og lu[yz 	暴露	c=1 d=1 t=22836
bk[og ul[ox 	暴曬	c=1 d=1 t=19143
bk[pb 	豹	c=1 d=1 t=5832
bk[pb ny[vp 	豹女	c=2 d=1.87372 t=5341
bk[rk 	保	c=2 d=1 t=30535
bk[rk bc[jx 	保鏢	c=1 d=1 t=32665
bk[rk cp[uz 	保存	c=0 d=0.1 t=14585
bk[rk hd[bw 	保皇	c=2 d=1.70117 t=28834
bk[rk hu[fh 	保護	c=2 d=1.97531 t=25594
bk[rk ii[ft 	保持	c=10 d=1.03367 t=24469
bk[rk ii[ft lm[eb xi[py 	保持聯繫	c=1 d=1 t=13063
bk[rk lq[pt 	保留	c=7 d=1.96461 t=23048
bk[rk oj[gn 	保安	c=1 d=1 t=36582
bk[rk ub[gc 	保守	c=6 d=1.001 t=24351
bk[rk vg[yh 	保證	c=3 d=1 t=28574
bk[rk vg[yh jn[rw 	保證金	c=1 d=1 t=35056
bk[rk xm[er 	保險	c=0 d=0.1 t=19313
bk[rk xm[er qi[zk jm[ke 	保險起見	c=1 d=1 t=19314
bk[rk yh[yp 	保養	c=1 d=1 t=11366
bk[rk yj[ek 	保研	c=1 d=1 t=30484
bk[rt 	堡	c=1 d=0.1 t=24411
bk[rt lz[st 	堡壘	c=1 d=1 t=25241
bk[ub 	飽	c=5 d=2.92639 t=31263
bk[ub he[hk 	飽和	c=3 d=2.54111 t=9697
bk[ub he[hk qu[ki yu[tg 	飽和區域	c=2 d=1.93707 t=9630
bk[ub ub[ay 	飽受	c=1 d=1 t=21795
bk[wr si[ns 	褒姒	c=1 d=1 t=6237
bl[bw qr[dd 	敗犬	c=3 d=1.3628 t=36833
bl[eo 	百	c=2 d=1 t=26867
bl[eo da[fc 	百搭	c=0 d=0.1 t=27703
bl[eo da[fc pl[pb 	百搭牌	c=2 d=1 t=30712
bl[eo du[gn 	百度	c=5 d=2.9458 t=25456
bl[eo ge[vk vg[dx lq[dw 	百舸爭流	c=1 d=1 t=25444
bl[eo ke[hd 	百科	c=1 d=1 t=7404
bl[eo lx[hy 	百裂	c=3 d=1 t=25527
bl[eo vk[eu 	百兆	c=1 d=1 t=15856
bl[ff 	掰	c=1 d=1 t=29877
bl[fh 	拜	c=2 d=1.70469 t=12168
bl[fh bl[fh 	拜拜	c=2 d=1 t=9285
bl[fs 	擺	c=15 d=2.0945 t=33153
bl[fs bl[fs 	擺擺	c=1 d=1 t=8916
bl[fs du[dg rf[pd 	擺渡人	c=5 d=3.45843 t=25428
bl[fs lj[hb 	擺爛	c=1 d=1 t=20004
bl[fs ns[wc 	擺弄	c=1 d=1 t=21295
bl[fs qr[bf 	擺拳	c=2 d=1.58567 t=32307
bl[po 	白	c=0 d=0.1 t=12091
bl[po dm[bd 	白點	c=1 d=1 t=36105
bl[po fa[vy 	白髮	c=2 d=1.05393 t=8653
bl[po jx[nq jx[nq 	白姐姐	c=4 d=1.99501 t=31941
bl[po lj[hb 	白爛	c=1 d=1 t=20003
bl[po ri[wh 	白日	c=1 d=1 t=1389
bl[po ri[wh yi[ry uj[uk jn[ud 	白日依山盡	c=1 d=1 t=1390
bl[po se[db 	白色	c=4 d=1 t=36746
bl[po si[hs 	白私	c=1 d=1 t=1807
bl[po tm[hd 	白天	c=3 d=1.68045 t=36852
bl[po tm[hd yi[sr hb[pk 	白天以後	c=1 d=1 t=33983
bl[po uv[uu 	白水	c=3 d=1 t=27033
bl[po uv[uu tm[hd he[dk 	白水天河	c=7 d=1.00161 t=27226
bl[po vi[ru 	白值	c=1 d=1 t=17506
bl[po vr[bb 	白賺	c=1 d=1 t=16235
bl[po vu[ad 	白朮	c=1 d=1 t=55
bl[po yn[jg 	白銀	c=1 d=1 t=11838
bm[gr pi[ul ru[pd li[ot 	鞭辟入裏	c=1 d=1 t=13851
bm[hk tk[av ti[ra 	扁桃體	c=1 d=1 t=14202
bm[ld ui[yk du[gn 	辨識度	c=1 d=1 t=35970
bm[lz 	邊	c=1 d=0.100307 t=27825
bm[lz jx[tr 	邊界	c=1 d=1 t=4483
bm[lz kd[ak 	邊框	c=1 d=0.1 t=23098
bm[lz uh[bh 	邊上	c=0 d=0.1 t=26985
bm[lz yr[sv 	邊緣	c=2 d=1.9802 t=6355
bm[lz yr[sv hw[rq 	邊緣化	c=1 d=1 t=20679
bm[rh 	便	c=11 d=1 t=35119
bm[rh bm[rh 	便便	c=10 d=1.001 t=18768
bm[rh bm[rh wh[su 	便便王	c=2 d=1 t=18766
bm[rh li[hd 	便利	c=1 d=1 t=18151
bm[rh ui[op 	便是	c=1 d=0.221846 t=27988
bm[sh ig[hk 	編程	c=2 d=1 t=12688
bm[sh ji[ik 	編輯	c=3 d=2.24316 t=18354
bm[sh ju[ud 	編劇	c=1 d=1 t=23807
bm[sh ma[em 	編碼	c=1 d=1 t=7180
bm[sh ma[em fh[dw ui[qg 	編碼方式	c=1 d=1 t=18281
bm[sh yi[yy 	編譯	c=5 d=3.17011 t=35359
bm[yy 	變	c=5 d=1.00013 t=11476
bm[yy de[ro 	變得	c=2 d=1 t=35164
bm[yy gk[wk 	變高	c=1 d=1 t=8821
bm[yy hw[rq 	變化	c=2 d=1.57984 t=18553
bm[yy ig[wv 	變成	c=9 d=1.00001 t=36594
bm[yy ld[oh 	變量	c=2 d=1.8825 t=35203
bm[yy ld[oh m;[xk 	變量名	c=1 d=1 t=9599
bm[yy le[vu 	變了	c=1 d=1 t=32758
bm[yy lm[or 	變臉	c=1 d=1 t=12208
bm[yy pl[fb zi[lh 	變拍子	c=1 d=1 t=700
bm[yy ti[ra 	變體	c=4 d=3.03915 t=20184
bm[yy tl[dx 	變態	c=0 d=0.1 t=8485
bm[yy wz[dl 	變爲	c=12 d=2.00482 t=32403
bm[yy x;[kp 	變形	c=2 d=1.92774 t=31390
bm[yy x;[xp 	變性	c=1 d=1 t=8237
bn[aa ni[rd 	彬你	c=1 d=1 t=18883
bo[cd lo[cs 	菠蘿	c=1 d=1 t=15339
bo[dp 	波	c=0 d=0.1 t=11565
bo[dp bi[bb 	波比	c=1 d=1 t=8678
bo[dp ds[el 	波動	c=0 d=0.1 t=32266
bo[dp ds[el qr[bf 	波動拳	c=2 d=1.80252 t=32311
bo[ff db[du 	搏鬥	c=1 d=1 t=31212
bo[fp 	播	c=1 d=1 t=1512
bo[fp bk[fe 	播報	c=1 d=1 t=1159
bo[fp fh[fw 	播放	c=2 d=1 t=32337
bo[fp qi[aq 	播棋	c=4 d=3.88791 t=12782
bo[ou zi[lh 	脖子	c=0 d=0.1 t=12542
bo[rb 	伯	c=3 d=0.1 t=31980
bo[uf 	博	c=3 d=1 t=31228
bo[uf da[hr 	博大	c=0 d=0.1 t=22009
bo[uf lo[sx 	博羅	c=1 d=1 t=15338
bo[uf yi[yc 	博弈	c=14 d=1.00102 t=28791
bo[ul qi[zk 	勃起	c=9 d=8.77424 t=10719
bo[vd 	箔	c=1 d=1 t=569
bo[wp li[ww 	玻璃	c=2 d=1.99005 t=10824
bo[xd xt[xd 	剝削	c=2 d=1.3027 t=34920
bu[eu 	不	c=35 d=0.1 t=36225
bu[eu bi[xp 	不必	c=4 d=1 t=35134
bu[eu bi[xp yk[xn 	不必要	c=1 d=1 t=21439
bu[eu bk[bk hj[rk 	不包含	c=1 d=1 t=4243
bu[eu bk[rk vg[yh 	不保證	c=1 d=1 t=15597
bu[eu bu[eu bu[eu 	不不不	c=4 d=1 t=25846
bu[eu bz[yp 	不被	c=2 d=1 t=28579
bu[eu cg[bo 	不曾	c=1 d=1 t=20889
bu[eu co[jg 	不錯	c=1 d=1 t=18925
